C27,C29,C28,C7,C1,C5,C34,C39,C21,C15,C14,C3,C30,C49,C6,C40,C46,C11,C47,C8,C36,C35,C22,C38,C19,C13,C43,C31,C37,C2,C23,C4,C25,C26,C20
0.0,0.4043192693921528,0.0,0.5031249593105316,0.7000122336468505,1.0,0.25,0.0,0.0,1.0,0.1,0.4250482741956589,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.5482865417959778,0.2,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.42230784233150176,0.6370307944803831,0.5,0.5,0.25,0.0
0.0,0.4043192693921528,0.0,0.5031249593105316,0.7000122336468505,1.0,0.25,0.0,0.0,0.6370307944803831,0.1,0.2784660398807517,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.8707983097108144,0.2942149721629888,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.24110334885291834,0.49479185503860273,0.5,0.5,0.25,0.0
0.0,0.4043192693921528,0.0,0.4854637901594672,0.627047069485387,1.0,0.25,0.0,0.0,0.6370307944803831,0.1,0.3196437229269824,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.8309217491007145,0.36414881232257024,0.0,0.5,0.0,0.0,0.1,0.4384645535378389,0.1,0.25,0.2633831564966017,0.5475802688956823,0.5,0.5,0.25,0.0
0.0,0.4043192693921528,0.0,0.47237525750930787,0.6417635934511599,1.0,0.25,0.0,0.0,0.6370307944803831,0.1,0.31334036859852227,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.835777596247224,0.36414881232257024,0.0,0.5,0.0,0.0,0.1,0.4319768602172659,0.1,0.25,0.2678278141301428,0.5475802688956823,0.5,0.5,0.25,0.0
0.0,0.4043192693921528,0.0,0.47237525750930787,0.6413361608460517,1.0,0.25,0.0,0.0,0.6370307944803831,0.1,0.31334036859852227,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.835777596247224,0.36414881232257024,0.0,0.5,0.0,0.0,0.1,0.4319768602172659,0.1,0.25,0.26728404331994704,0.5475802688956823,0.5,0.5,0.25,0.0
