C27,C29,C28,C7,C1,C5,C34,C39,C21,C15,C14,C3,C30,C49,C6,C40,C46,C11,C47,C8,C36,C35,C22,C38,C19,C13,C43,C31,C37,C2,C23,C4,C25,C26,C20
1.0,0.4043192693921528,0.1,0.5031249593105316,0.7000122336468505,1.0,0.25,0.0,0.1,1.0,0.1,0.4250482741956589,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.5482865417959778,0.2,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.42230784233150176,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8103107971334829,0.4802186636524969,0.7000122336468505,1.0,0.25,0.0,0.8959669081483801,0.6370307944803831,0.1,0.29725229939889064,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.8650678302299178,0.2839402061842902,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.25827124216354946,0.49479185503860273,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8026564053821528,0.2948885985106869,0.6354161428498492,1.0,0.25,0.0,0.935415428498909,0.6370307944803831,0.1,0.517536444986821,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.7575057552216816,0.27636646432581186,0.0,0.5,0.0,0.0,0.1,0.4384645535378389,0.1,0.25,0.4492057087899904,0.5475802688956823,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.784738134547525,0.28859060143659737,0.7244696639165702,1.0,0.25,0.0,0.9378900445194812,0.6370307944803831,0.1,0.5273455446332055,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.7531608721965751,0.2771325124516484,0.0,0.5,0.0,0.0,0.1,0.4319768602172659,0.1,0.25,0.47346114331267153,0.5475802688956823,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.7840364465866076,0.28800728079933985,0.7312171535408452,1.0,0.25,0.0,0.9369263358999469,0.6370307944803831,0.1,0.5278313638301636,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.7530020182870041,0.27893087555601365,0.0,0.5,0.0,0.0,0.1,0.4319768602172659,0.1,0.25,0.4746457412174678,0.5475802688956823,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.7841907078947621,0.2879118613013749,0.7315453281991514,1.0,0.25,0.0,0.9368883142440584,0.6370307944803831,0.1,0.5274244307254008,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.7532587873604384,0.27900144573201807,0.0,0.5,0.0,0.0,0.1,0.4319768602172659,0.1,0.25,0.47444809825381123,0.5475802688956823,0.5,0.5,0.25,0.0
