,OUV,Phy-Fab, landscape,Budget,Erosion
Baseline,0.0,0.0,0.0,0.0,0.0
Fb,4.504649067063171,12.346504302276394,24.085771604054546,-42.77527759785137,37.384146780814575
Tb,8.93274059025977,49.662790638669534,25.69920330080993,-14.457820345236236,-15.475937170900286
FTb (Flood-strong),2.777523306030728,12.388198986526866,9.872527402049977,-17.23027964513769,37.34513509427708
FTb (Flood-medium),3.7806322093608147,18.631232588199705,11.896450021084988,-17.13697033960684,21.712015932440504
FTb(Flood-weak),4.308708871449383,21.99380142659262,12.943944338977298,-17.09636597816194,12.915597308430781
