C27,C29,C28,C7,C1,C5,C34,C39,C21,C15,C14,C3,C30,C49,C6,C40,C46,C11,C47,C8,C36,C35,C22,C38,C19,C13,C43,C31,C37,C2,C23,C4,C25,C26,C20
1.0,0.4043192693921528,0.1,0.5031249593105316,0.7000122336468505,1.0,0.25,0.0,0.1,0.0,0.1,0.4250482741956589,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.5482865417959778,0.2,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.42230784233150176,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8103107971334829,0.6890824859479405,0.7000122336468505,1.0,0.25,0.0,0.8959669081483801,0.0,0.1,0.35768717342581646,0.0,0.0,0.0,0.7452099432380278,0.2,0.0,0.0,0.5358757430496351,0.4875026035157896,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.4448157402470493,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8590141681250562,0.4079681681247487,0.6905096238975322,1.0,0.25,0.0,0.9429084282676659,0.0,0.1,0.5299573722402203,0.0,0.0,0.0,0.7452099432380278,0.2,0.0,0.0,0.4724075230640621,0.40007433259149866,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.6259985285614226,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8221114986480842,0.4134237008048595,0.7605971045088946,1.0,0.25,0.0,0.9452647658571174,0.0,0.1,0.5496932451617014,0.0,0.0,0.0,0.7434661956545837,0.2,0.0,0.0,0.4556997071501225,0.39424404148320863,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.644370765184935,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8220703902466294,0.4135903023737062,0.7674671211737965,1.0,0.25,0.0,0.9434879647722373,0.0,0.1,0.5509907489016366,0.0,0.0,0.0,0.7561427573608012,0.2,0.0,0.0,0.4546845972499329,0.39865899930634047,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.6470490184271549,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8225724449343813,0.4158742620451055,0.7681758854663308,1.0,0.25,0.0,0.943485955556371,0.0,0.1,0.5489557822232889,0.0,0.0,0.0,0.7573622104031469,0.2,0.0,0.0,0.45545231686015347,0.398663926775177,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.6468094894887585,0.6370307944803831,0.5,0.5,0.25,0.0
1.0,0.4043192693921528,0.8228228484013286,0.4161330387670725,0.7677705923930589,1.0,0.25,0.0,0.9435104894035774,0.0,0.1,0.5488415875200895,0.0,0.0,0.0,0.7574877825256073,0.2,0.0,0.0,0.45545317706296246,0.39860374927005504,0.0,0.5,0.0,0.0,0.1,0.4210375994673535,0.1,0.25,0.6467088432479038,0.6370307944803831,0.5,0.5,0.25,0.0
