Concept Label,Baseline,Flood with Improvement,Tourism with Improvement,Flood + Tourism with Improvement
OUV,0.7000122336468505,0.7315453281991514,0.7625425105786068,0.719455236581458
Phy-Fab,0.42230784233150176,0.47444809825381123,0.6320377019192781,0.47462417817523633
 landscape,0.4250482741956589,0.5274244307254008,0.5342822943077853,0.4670112815375658
Budget,0.5031249593105316,0.2879118613013749,0.430384056581372,0.4164351218568418
Flooding,0.0,0.6370307944803831,0.0,0.6370307944803831
Tourism,0.0,0.0,0.7565766800409806,0.6490015344005932
Erosion,0.5482865417959778,0.7532587873604384,0.46343406107113033,0.7530448915334257
