,OUV,Phy-Fab, landscape,Budget,Erosion
Baseline,0.7000122336468505,0.42230784233150176,0.4250482741956589,0.5031249593105316,0.5482865417959778
Fb,0.7315453281991514,0.47444809825381123,0.5274244307254008,0.2879118613013749,0.7532587873604384
Tb,0.7625425105786068,0.6320377019192781,0.5342822943077853,0.430384056581372,0.46343406107113033
FTb (Flood-strong),0.719455236581458,0.47462417817523633,0.4670112815375658,0.4164351218568418,0.7530448915334257
FTb (Flood-medium),0.7264771216215694,0.5009889986744915,0.4756139297008297,0.4169045842623268,0.6673306031061476
FTb(Flood-weak),0.7301737228592233,0.5151893905828201,0.4800662862213286,0.41710887493932475,0.6191010236306673
